DATE,法巴新興市場智取債券基金,P014,安聯收益及增長基金,E016,富蘭克林入息基金,C026,施羅德環球股債增長,M022,摩根亞洲股票高息基金,V004,摩根IF下一代新興市場基金,K007,晉達環球黃金基金,H009,富蘭克林科技基金,C023,貝萊德世界礦業基金,R009,安聯中國未來科技基金,E018,富達亞洲特別機會,A016,霸菱環高抵債,N018
2025/06/02,10.4,0.00%,8.0931,0.00%,9.48,0.00%,76.0576,0.00%,10.21,0.00%,92.52,0.00%,32.64,0.00%,51.16,0.00%,64.22,0.00%,8.8667,0.00%,29.5,0.00%,78.84,0.00%
2025/06/03,10.41,0.10%,8.1324,0.49%,9.51,0.32%,76.122,0.08%,10.25,0.39%,93.15,0.68%,32.89,0.77%,51.75,1.15%,63.45,-1.20%,8.8667,0.00%,29.58,0.27%,78.43,-0.52%
2025/06/04,10.46,0.48%,8.1724,0.49%,9.53,0.21%,76.3507,0.30%,10.35,0.98%,93.84,0.74%,32.98,0.27%,52.11,0.70%,64.53,1.70%,8.9368,0.79%,29.95,1.25%,78.52,0.11%
2025/06/05,10.45,-0.10%,8.1627,-0.12%,9.52,-0.10%,76.5676,0.28%,10.43,0.77%,93.62,-0.23%,33.34,1.09%,52.27,0.31%,65.57,1.61%,9.1288,2.15%,30.25,1.00%,78.6,0.10%
2025/06/06,10.42,-0.29%,8.1895,0.33%,9.55,0.32%,76.5367,-0.04%,10.42,-0.10%,93.28,-0.36%,32.68,-1.98%,52.65,0.73%,64.81,-1.16%,9.0777,-0.56%,30.17,-0.26%,78.62,0.03%
2025/06/09,10.42,0.00%,8.1895,0.00%,9.5,-0.52%,76.5486,0.02%,10.51,0.86%,93.28,0.00%,32.68,0.00%,52.75,0.19%,64.81,0.00%,9.0777,0.00%,30.49,1.06%,78.62,0.00%
2025/06/10,10.46,0.38%,8.1894,0.00%,9.54,0.42%,76.7124,0.21%,10.55,1.25%,93.31,0.03%,32.64,-0.12%,52.94,0.36%,65,0.28%,9.1996,0.18%,30.54,0.16%,78.59,-0.04%
2025/06/11,10.48,0.19%,8.2066,0.21%,9.55,0.10%,76.8973,0.24%,10.61,0.57%,93.66,0.38%,32.54,-0.31%,52.97,0.06%,64.49,-0.78%,9.2695,0.76%,30.72,0.59%,78.67,0.10%
2025/06/12,10.5,0.19%,8.1894,-0.21%,9.57,0.21%,76.9758,0.10%,10.59,-0.19%,93.77,0.12%,33.45,2.80%,53.24,0.51%,64.78,0.45%,9.2442,-0.27%,30.58,-0.46%,78.68,0.01%
2025/06/13,10.46,-0.38%,8.1663,-0.28%,9.53,-0.42%,76.6858,-0.38%,10.52,-0.66%,92.78,-1.06%,34.27,2.45%,52.38,-1.62%,64.73,-0.08%,9.1729,-0.77%,30.27,-1.01%,78.59,-0.11%
2025/06/16,10.49,0.29%,8.1388,-0.34%,9.54,0.10%,76.6995,0.02%,10.58,0.57%,93.55,0.83%,33.48,-2.31%,53.23,1.62%,65.4,1.04%,9.2549,0.89%,30.45,0.59%,78.69,0.13%
2025/06/17,10.48,-0.10%,8.1283,-0.13%,9.51,-0.31%,76.6995,0.00%,10.61,0.28%,93.71,0.17%,33.16,-0.96%,52.91,-0.60%,65.38,-0.03%,9.2668,0.13%,30.27,-0.59%,78.64,-0.06%
